"","s0"
"X2010.Census.Population",7.30998775250594e-05
"Population.Estimate..2011",-2.38496989114511e-05
"Population.Estimate..2012",-2.76260007986121e-05
"Population.Estimate..2013",-1.96617178841248e-05
"LACCESS_POP10",-3.92976284987507e-05
"PCT_LACCESS_POP10",0.031467369576114
"LACCESS_LOWI10",1.93963213573984e-05
"PCT_LACCESS_LOWI10",0.000381172768395769
"LACCESS_HHNV10",7.33487597384829e-05
"PCT_LACCESS_HHNV10",-0.0333119068000945
"LACCESS_CHILD10",0.000139586345965185
"PCT_LACCESS_CHILD10",-0.150472524055488
"LACCESS_SENIORS10",-2.73344552537056e-05
"PCT_LACCESS_SENIORS10",-0.0386996565786694
"GROC09",-0.00594792183481399
"GROCPTH09",-0.309288724412637
"SUPERC09",-0.0705746019520043
"SUPERCPTH09",7.76323107953885
"CONVS09",0.000220174717244178
"CONVSPTH09",0.527561251368878
"SPECS09",0.0031538669158625
"SPECSPTH09",-0.468692075854672
"SNAPS12",0.0012706128273323
"SNAPSPTH12",0.287426760934856
"WICS12",-0.000753398337707903
"PCH_WICS_08_12",-0.00542106062964401
"WICSPTH08",0.255778298486751
"WICSPTH12",-0.22581336444777
"FFR09",0.00327671539289784
"FFRPTH09",-0.640258621218357
"FSR09",-0.00254392733570242
"FSRPTH09",-0.702734196107178
"PC_FFRSALES07",-0.010560862348773
"PC_FFRSALES12",0.0103416935485356
"PC_FSRSALES07",-0.00194770194003239
"PC_FSRSALES12",0.000308561330877139
"PCT_SNAP12",0.213220706020598
"PC_SNAPBEN10",0.0755865359713441
"SNAP_PART_RATE08",0.0300338406716638
"SNAP_PART_RATE13",-0.0509778869609146
"SNAP_OAPP09",0.91282031635063
"SNAP_CAP09",0.194617467804685
"SNAP_BBCE09",2.27443390351544
"SNAP_REPORTSIMPLE09",-2.10292994339381
"PCT_NSLP09",0.643764637665688
"PCT_FREE_LUNCH09",0.0296720784995708
"PCT_REDUCED_LUNCH09",0.0472919244311776
"PCT_SBP09",-1.03330080782617
"PCT_SFSP09",0.218088391159295
"PCT_WIC09",3.06446375495288
"PCT_CACFP09",-0.894046129668129
"FDPIR12",-0.0362253537063926
"FOODINSEC_10_12",0.184672257552997
"VLFOODSEC_10_12",-0.103714619256156
"FOODINSEC_CHILD_01_07",-0.960138527942101
"FOODINSEC_CHILD_03_11",0.380031036670831
"MILK_PRICE10",-3.99552923694939
"SODA_PRICE10",5.32356728704878
"MILK_SODA_PRICE10",6.20399750833181
"DIRSALES_FARMS07",0.0164488962216289
"DIRSALES_FARMS12",-0.0114546714261985
"PCH_DIRSALES_FARMS_07_12",-0.00149979756883241
"PCT_LOCLFARM07",-0.0479721190995071
"PCT_LOCLFARM12",-0.0235172332830648
"FMRKT09",0.0279782920722715
"FMRKTPTH09",0.763018085076062
"VEG_FARMS07",-0.000413221163219123
"VEG_FARMS12",0.00417243784809687
"FRESHVEG_FARMS07",0.00234851508474208
"FRESHVEG_FARMS12",-0.00239592035737673
"ORCHARD_FARMS07",-0.00215460823553985
