2010.Census.Population,Population.Estimate..2011,Population.Estimate..2012,Population.Estimate..2013,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,FFR09,FFRPTH09,FSR09,FSRPTH09,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,PCT_SNAP12,PC_SNAPBEN10,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_CAP09,SNAP_BBCE09,SNAP_REPORTSIMPLE09,PCT_NSLP09,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SBP09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,FDPIR12,FOODINSEC_10_12,VLFOODSEC_10_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,FMRKT09,FMRKTPTH09,VEG_FARMS07,VEG_FARMS12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,ORCHARD_FARMS07,ORCHARD_FARMS12,BERRY_FARMS07,BERRY_FARMS12,SLHOUSE07,SLHOUSE12,GHVEG_FARMS07,GHVEG_FARMS12,CSA07,CSA12,AGRITRSM_OPS07,AGRITRSM_OPS12,FARM_TO_SCHOOL09,WIC.participants.FY.2009,WIC.participants.FY.2011,WIC.participants..FY.2012,WIC.participants..FY.2013,National.School.Lunch.Program.participants.FY.2009,National.School.Lunch.Program.participants.FY.2011,National.School.Lunch.Program.participants..FY.2012,National.School.Lunch.Program.participants..FY.2013,School.Breakfast.Program.participants.FY.2009,School.Breakfast.Program.participants.FY.2011,School.Breakfast.Program.participants..FY.2012,School.Breakfast.Program.participants..FY.2013,Child.and.Adult.Care.particpants.FY.2009,Child.and.Adult.Care.particpants.FY.2011,Child.and.Adult.Care.participants..FY.2012,Child.and.Adult.Care.participants..FY.2013,Summer.Food.particpants.FY.2009,Summer.Food.participants.FY.2011,Summer.Food.participants..FY.2012,Summer.Food.participants..FY.2013,State.Population..2009,State.Population..2010,State.Population...2011,State.Population..2012,State.Population...2013,RECFAC09,RECFACPTH09,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,PERPOV10,PERCHLDPOV10,METRO13,POPLOSS10,COUNTY_STATE_RELATIVE_POP_2010,PCT_OBESE_ADULTS13
2420,2378,2359,2297,794.32,32.82,172.93,7.15,20.58,1.82,131.82,5.45,194.54,8.04,0,0,0,0,1,0.41,0,0,3,1.27,3,0,1.28,1.27,2,0.83,6,2.48,491.93,585.34,564.38,727.66,8.32,11.12,71,70.31,0,0,1,1,12.51,29.05,16.82,3.13,0.33,2.25,2.55,0,13.2,5,5.3,5.8,0.95,1.04,0.84,6,3,-50,1.25,0.66,1,0.43,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,11,0,14573,14068,13661.42,13273.42,80924,83483.76,85078.15,87065.2,20233,21953.97,23291.74,23805.11,16511,16612,16240,16817.5,2122,2659,2184,2454,646844,674629,683932,701345,723393,1,0.41,98.64,0.29,0.37,0.17,0.33,0,26.32,18.97,0,0,0,1,0.003587157,26.9
15279,15419,15449,15533,4253.49,27.84,1650.65,10.8,354.64,5.53,923.9,6.05,699.31,4.58,4,0.26,0,0,8,0.53,1,0.07,12.42,0.81,2,0,0.13,0.13,7,0.46,8,0.53,721.82,635.07,739.15,738.37,11.17,15.76,65,83.57,1,1,0,1,9.55,31.96,10.94,2.97,0.66,2.03,0.75,0,12.7,5.6,6.2,6.2,1.08,0.95,1.06,46,79,71.74,5.32,9.15,0,0,35,28,34,27,23,26,12,10,1,2,4,3,13,7,7,18,1,160150,156085,159137.42,155935.33,752709,756503.3,749114.71,717617.52,234396,253730.07,271107.04,272469.74,58915,67735.75,70997,65337.75,51798,58006,54339,55519,7882590,8023953,8096604,8186628,8260405,1,0.07,94.15,1.77,2.7,0.23,0.12,0.01,17.58,21.91,0,0,1,0,0.001904174,26.5
65359,65575,65856,66229,9530.91,14.58,3683.08,5.64,567.42,2.37,1690.06,2.59,1036.51,1.59,10,0.15,2,0.03,38,0.59,2,0.03,54.58,0.83,9,-10,0.16,0.14,41,0.63,35,0.54,623.52,567.3,617.34,642.53,15.67,23.47,85,92.97,0,0,0,1,10.78,42.45,10.29,3.94,0.58,2.51,1.05,0,20.9,6.9,8.3,9,0.87,0.98,0.83,23,32,39.13,3.2,5.1,1,0.02,8,9,8,9,12,12,4,4,0,0,1,1,3,2,6,9,0,150145,145767,145899.83,140820.75,645262,646160.85,638942.95,610369.77,235682,242192.38,257270.89,263351.55,62896,67779.25,68460.5,67817,34698,33520,27147,27008,5987580,5995715,6010688,6024522,6044171,3,0.05,92.77,4.22,1.19,0.37,0.35,0.05,14.31,22.04,0,0,0,0,0.010900952,32.8
1117,1104,1080,1044,1117,100,475.6,42.58,6.84,1.41,240,21.49,178,15.94,1,0.88,0,0,0,0,0,0,1,0.93,0,0,0,0,3,2.65,2,1.77,570.67,470.64,584,495.67,14.61,6.42,61,85.87,0,0,1,1,11,38.75,10,4.58,1.46,2.99,0.63,0,12.6,4.8,9.7,8.7,0.72,1.01,0.66,3,6,100,2.88,5.26,0,0,1,8,1,8,1,0,1,2,0,0,1,2,1,2,0,0,0,46175,44020,43751.25,43291.67,170003,170852.21,170127.17,160189.02,70830,74901.95,77706.22,75367.97,9677,8878.75,8546,10694.25,22625,21744,21114,20959,1545801,1571102,1584985,1595590,1612136,0,0,90.24,0.18,6.71,0.09,0.54,0,15.94,21.49,0,0,0,0,0.000710966,25.7
226073,230197,234385,239049,51931.62,22.97,13555.92,6,1981.36,2.31,13640.43,6.03,6370.72,2.82,37,0.17,4,0.02,111,0.5,8,0.04,186.17,0.79,30,15.38,0.12,0.13,162,0.72,129,0.58,711.52,632.2,719.93,688.25,18.42,19.04,74,84.41,1,1,1,1,10.98,33.11,5.87,5.47,1.21,2.95,0.74,0,15.4,5.2,9.2,9.8,1.06,0.9,1.09,52,52,0,5.01,5.18,3,0.01,56,47,56,45,46,36,17,16,2,3,2,0,3,3,13,29,0,134753,130647,130524.92,124287.17,500742,497669.3,492877.74,478053.58,249443,261877.02,272397.94,273442.89,33541,33507.25,33468.5,35513.5,55205,45229,56178,56172,4561242,4637106,4679230,4723417,4774839,19,0.08,72.71,18.85,4.46,1.5,0.79,0.03,11.34,25.54,0,0,1,0,0.048753037,29.4
13956,13783,13711,13582,3557.69,25.49,1012.43,7.25,96.96,1.62,817.05,5.85,809.5,5.8,6,0.43,1,0.07,9,0.65,2,0.14,16.17,1.18,6,0,0.43,0.44,9,0.65,14,1,489.04,479.49,476.79,534.96,13.36,14.52,81,95.99,1,0,0,1,13.11,29.44,12.48,2.81,0.34,2.51,1.25,0,13.5,6.3,7.5,8.3,0.87,0.98,0.83,13,23,76.92,1.7,3.27,4,0.29,9,4,2,4,11,1,8,3,1,1,0,1,4,5,0,3,1,75645,70931,69158.92,65875.92,394391,396893.56,395599.78,384195.01,84554,88514.32,93107.52,94780.77,37532,38946,38915.75,38978.25,10346,11122,11109,13607,3007856,3050202,3062309,3075039,3090416,3,0.22,96.75,0.24,1.81,0.21,0.16,0.32,20.95,22.84,0,0,0,1,0.004575435,35.2
6856,6869,6861,6803,136.01,1.98,86.58,1.26,134.67,4.67,28.67,0.42,30.42,0.44,2,0.29,0,0,5,0.73,0,0,10.17,1.49,3,-25,0.59,0.44,2,0.29,4,0.58,666.23,677.73,534.38,573.69,19.36,26.68,82,88.37,0,1,0,1,13.23,57.46,12.6,5.53,1.28,3.29,1.06,0,15.6,6.2,8,10,0.97,0.97,0.92,16,8,-50,3.16,2.16,0,0,8,10,8,10,7,5,6,5,0,0,0,0,1,2,0,2,0,141768,141648,132698.08,129923.33,570755,553818.65,549533.74,532791.32,238782,252110.75,269770.95,276997,45763,46954,47689,52231.5,55312,39769,33091,20189,4314113,4347223,4369356,4379730,4395295,0,0,94.92,2.58,0.92,0.12,0.09,0,19.09,22.23,1,1,0,0,0.001577099,31.8
107667,107279,107111,106803,29194.19,27.12,12202.88,11.33,1084.22,2.43,6218.41,5.78,5425.36,5.04,27,0.25,4,0.04,62,0.58,10,0.09,116.75,1.09,23,0,0.22,0.21,82,0.76,84,0.78,710.69,531.09,778.44,746.26,21.01,29.29,92,100,0,0,1,1,8.12,47.48,9.19,3.63,0.96,2.96,1.07,0,13.6,5.8,9.5,10.4,0.86,1.24,0.64,347,346,-0.29,16.56,17.96,1,0.01,44,67,43,64,187,177,49,40,0,2,5,9,20,18,17,8,0,113248,111534,111647.83,107858.75,310817,312828.24,307110.15,293386.67,138831,139961.88,142434.74,139697.23,40901,45794.75,46211.25,44569.5,36567,42278,40815,38653,3825657,3838332,3871859,3899801,3930065,10,0.09,89.48,0.26,4.7,0.94,1.67,0.1,20.96,20.52,0,0,0,0,0.028050466,31
32428,32296,32510,32488,4772.6,14.72,1710.29,5.27,377.96,2.99,1086.16,3.35,850.26,2.62,8,0.25,1,0.03,11,0.34,1,0.03,23.5,0.72,5,-16.67,0.18,0.15,20,0.61,28,0.86,652.97,611.29,565.77,617.44,13.84,16.43,65,89.42,0.5,0,0,1,12.27,41.72,10,3.28,0.86,2.65,0.95,0,13,4.5,6.2,7.8,0.97,0.97,0.92,51,56,9.8,7.35,9.11,1,0.03,14,21,14,19,14,8,6,7,1,0,0,5,0,4,2,2,0,170137,167875,164280.58,159524.58,788167,807688.96,801375.76,781172.48,210886,240077.19,256201.85,259035.96,61253,66495.25,71208.5,79035.25,55113,55785,54466,58664,6423113,6490622,6516922,6537782,6570902,3,0.09,93.94,1.63,2.33,0.65,0.18,0.02,14.62,22.62,0,0,0,0,0.004996131,35
98764,98772,98305,98156,23640.3,23.94,5276.84,5.34,686.64,1.65,4651.21,4.71,4658.57,4.72,26,0.26,0,0,27,0.27,14,0.14,56.75,0.58,11,10,0.1,0.11,54,0.55,94,0.95,761.45,642.49,755.59,750.32,10.47,7.91,48,66.45,0.5,0,1,0,8.59,24.34,7.07,3.17,0.26,3.89,0.89,0,15.6,5.7,10.4,10.8,1.03,1.09,0.88,113,189,67.26,16.38,25.47,5,0.05,41,133,41,128,125,158,24,64,0,0,8,16,11,39,9,33,0,1439006,1466564,1472468.25,1431881.42,3175063,3282276.52,3355494.43,3294580.37,1172714,1288654.68,1406620.16,1517341.24,327838,327270.25,362931,451422,95080,115628,104384,114689,36961664,37338198,37691912,37999878,38332521,21,0.21,86.55,0.35,8.54,1.14,0.8,0.1,19.41,19.35,0,0,0,0,0.00264512,21.1
