2010.Census.Population,Population.Estimate..2011,Population.Estimate..2012,Population.Estimate..2013,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,FFR09,FFRPTH09,FSR09,FSRPTH09,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,PCT_SNAP12,PC_SNAPBEN10,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_CAP09,SNAP_BBCE09,SNAP_REPORTSIMPLE09,PCT_NSLP09,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SBP09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,FDPIR12,FOODINSEC_10_12,VLFOODSEC_10_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,FMRKT09,FMRKTPTH09,VEG_FARMS07,VEG_FARMS12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,ORCHARD_FARMS07,ORCHARD_FARMS12,BERRY_FARMS07,BERRY_FARMS12,SLHOUSE07,SLHOUSE12,GHVEG_FARMS07,GHVEG_FARMS12,CSA07,CSA12,AGRITRSM_OPS07,AGRITRSM_OPS12,FARM_TO_SCHOOL09,WIC.participants.FY.2009,WIC.participants.FY.2011,WIC.participants..FY.2012,WIC.participants..FY.2013,National.School.Lunch.Program.participants.FY.2009,National.School.Lunch.Program.participants.FY.2011,National.School.Lunch.Program.participants..FY.2012,National.School.Lunch.Program.participants..FY.2013,School.Breakfast.Program.participants.FY.2009,School.Breakfast.Program.participants.FY.2011,School.Breakfast.Program.participants..FY.2012,School.Breakfast.Program.participants..FY.2013,Child.and.Adult.Care.particpants.FY.2009,Child.and.Adult.Care.particpants.FY.2011,Child.and.Adult.Care.participants..FY.2012,Child.and.Adult.Care.participants..FY.2013,Summer.Food.particpants.FY.2009,Summer.Food.participants.FY.2011,Summer.Food.participants..FY.2012,Summer.Food.participants..FY.2013,State.Population..2009,State.Population..2010,State.Population...2011,State.Population..2012,State.Population...2013,RECFAC09,RECFACPTH09,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,PERPOV10,PERCHLDPOV10,METRO13,POPLOSS10,COUNTY_STATE_RELATIVE_POP_2010,PCT_OBESE_ADULTS13
8365,8234,8247,8309,2170.92,25.95,648.05,7.75,154.28,6.11,617.03,7.38,270.71,3.24,1,0.12,0,0,8,0.96,0,0,7.25,0.88,1,0,0.13,0.12,1,0.12,1,0.12,632.34,530.27,919.51,882.94,17.52,18.17,59,92.59,1,1,0,1,8.42,46.29,11.49,3.29,0.69,2.73,0.97,0,14.8,5.7,9.3,9.4,1.08,0.95,1.06,4,0,-100,7.55,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,505671,492071,495404.83,483564.67,1560392,1648779.22,1653679.97,1638775.14,610818,684278.8,711285.03,750969.44,180614,203266,210496.5,223790.75,127826,129450,137796,145389,18537969,18838613,19057542,19320749,19552860,0,0,73.63,17.6,6.19,0.19,0.92,0,10.62,21.24,0,0,0,0,0.000444035,39.6
22099,21956,21312,20811,990.04,4.48,594.41,2.69,876.36,9.53,204.98,0.93,167.68,0.76,5,0.23,0,0,12,0.54,0,0,26.17,1.22,9,0,0.44,0.42,4,0.18,9,0.41,746.02,644.85,665.11,642.78,16.96,31.03,65,84.21,0,1,0,1,10.25,66.1,10.62,3.91,0.57,2.93,1.36,0,16.6,6.7,10,10.2,1.06,0.9,1.09,6,8,33.33,1.76,2.51,0,0,3,5,3,5,0,0,2,2,0,0,0,0,2,0,2,7,0,275039,266478,269334.67,264754.83,961612,948653.48,942745.42,906460.39,367089,382095.41,405295.22,419976.15,127404,120112.5,116996,115084,53067,74559,92476,98255,9380884,9560234,9656401,9748364,9848060,2,0.09,38.9,58.13,1.38,0.17,0.41,0,19.62,20.82,1,1,0,0,0.002311554,38.5
58098,57828,57591,57146,1620.57,2.79,800.88,1.38,1274.46,5.67,218.94,0.38,143.04,0.25,12,0.21,1,0.02,32,0.55,4,0.07,63.17,1.1,20,0,0.37,0.35,47,0.81,31,0.53,746.02,644.85,665.11,642.78,16.96,26.44,65,84.21,0,1,0,1,10.25,56.58,8.76,3.91,0.57,2.93,1.36,0,16.6,6.7,10,10.2,1.08,0.95,1.06,42,32,-23.81,5.41,4.38,1,0.02,69,33,64,26,18,29,21,19,0,0,2,1,4,7,2,2,0,275039,266478,269334.67,264754.83,961612,948653.48,942745.42,906460.39,367089,382095.41,405295.22,419976.15,127404,120112.5,116996,115084,53067,74559,92476,98255,9380884,9560234,9656401,9748364,9848060,2,0.03,60.36,30.27,4.58,0.25,3.08,0.04,15.2,23.29,1,1,0,0,0.006077048,31.2
133801,134689,137551,139114,31158.04,23.29,15204.18,11.36,1399.3,2.72,5447.8,4.07,2176.93,1.63,21,0.16,1,0.01,43,0.32,8,0.06,65.92,0.48,16,6.67,0.12,0.12,88,0.66,125,0.94,746.02,644.85,665.11,642.78,16.96,9.71,65,84.21,0,1,0,1,10.25,23.96,4.29,3.91,0.57,2.93,1.36,0,16.6,6.7,10,10.2,1.06,0.9,1.09,78,120,53.85,12.91,18.6,4,0.03,48,77,48,77,25,41,31,44,0,0,5,12,17,36,14,23,0,275039,266478,269334.67,264754.83,961612,948653.48,942745.42,906460.39,367089,382095.41,405295.22,419976.15,127404,120112.5,116996,115084,53067,74559,92476,98255,9380884,9560234,9656401,9748364,9848060,23,0.17,70.76,11.75,8.23,6.72,0.29,0.03,9.63,20.9,0,0,1,0,0.013995578,23.3
2052,2078,2044,2091,2052,100,824.22,40.17,19.33,2.8,698,34.02,255,12.43,2,0.98,0,0,3,1.47,0,0,2,0.97,0,0,0,0,1,0.49,2,0.98,784.26,728.77,658.54,688.36,15.22,8.2,56,76.67,1,1,1,1,13.13,16.83,10.64,6.17,0.74,4,1.22,0,18.4,6.2,12.6,12.8,1.1,0.97,1.04,2,0,-100,1.33,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,0,992454,993498,969893.08,955072.25,3254249,3401745.54,3374153.9,3314594.15,1528878,1744587.44,1786413.64,1818710.3,303520,307976,351921.5,369514.5,183501,173243,176587,180355,24782302,25253466,25674681,26060796,26448193,0,0,82.8,2.92,11.84,0.83,0.54,0,12.43,34.02,0,0,1,1,8.13E-05,29.3
2420,2378,2359,2297,794.32,32.82,172.93,7.15,20.58,1.82,131.82,5.45,194.54,8.04,0,0,0,0,1,0.41,0,0,3,1.27,3,0,1.28,1.27,2,0.83,6,2.48,491.93,585.34,564.38,727.66,8.32,11.12,71,70.31,0,0,1,1,12.51,29.05,16.82,3.13,0.33,2.25,2.55,0,13.2,5,5.3,5.8,0.95,1.04,0.84,6,3,-50,1.25,0.66,1,0.43,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,11,0,14573,14068,13661.42,13273.42,80924,83483.76,85078.15,87065.2,20233,21953.97,23291.74,23805.11,16511,16612,16240,16817.5,2122,2659,2184,2454,646844,674629,683932,701345,723393,1,0.41,98.64,0.29,0.37,0.17,0.33,0,26.32,18.97,0,0,0,1,0.003587157,26.9
31704,31734,31652,31505,3073.77,9.7,1155.26,3.64,459.47,3.74,813.97,2.57,399.21,1.26,6,0.19,1,0.03,23,0.73,1,0.03,30.75,0.97,7,16.67,0.19,0.22,22,0.7,17,0.54,649.51,674.8,484.38,512.28,18.82,24.79,67,89.18,0,0,0,1,12.32,55.23,10.11,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,0.97,0.97,0.92,31,24,-22.58,3.24,2.91,1,0.03,32,22,32,21,7,1,6,2,0,1,0,1,4,5,7,1,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,3,0.09,79.64,3.82,14.86,0.16,0.38,0.01,15.22,24.81,0,0,0,0,0.00662515,33.2
49462,49354,49256,49035,2249.17,4.55,725.23,1.47,231.09,1.21,511.15,1.03,536.05,1.08,9,0.18,1,0.02,21,0.43,0,0,38.83,0.79,6,20,0.1,0.12,24,0.49,22,0.45,652.97,611.29,565.77,617.44,13.84,20.46,65,89.42,0.5,0,0,1,12.27,37.98,9.18,3.28,0.86,2.65,0.95,0,13,4.5,6.2,7.8,0.77,0.95,0.75,35,39,11.43,4.48,5.56,1,0.02,13,11,12,10,2,5,4,5,1,1,1,2,4,0,1,3,0,170137,167875,164280.58,159524.58,788167,807688.96,801375.76,781172.48,210886,240077.19,256201.85,259035.96,61253,66495.25,71208.5,79035.25,55113,55785,54466,58664,6423113,6490622,6516922,6537782,6570902,5,0.1,94.89,2.15,1.4,0.31,0.13,0.01,16.18,22.33,0,0,0,0,0.007620533,36.7
45858,45606,45444,45453,3482.68,7.59,1394.24,3.04,563.32,3.11,674.6,1.47,676.79,1.48,15,0.33,1,0.02,15,0.33,2,0.04,32.67,0.72,11,120,0.11,0.24,36,0.78,26,0.56,622.31,649.09,577.37,643.14,15.61,20.08,72,95.71,0,0,1,1,9.7,33.53,7.32,3.15,0.56,2.63,1.07,0,16.1,7.1,8.2,8.6,0.86,0.96,0.83,92,69,-25,9.62,7.95,1,0.02,23,13,23,12,14,9,10,8,2,2,3,1,7,2,3,5,0,303679,281306,275627.33,263683.42,1120056,1133771.78,1114370.85,1063938.75,363399,396715.21,418371.33,422862.16,123817,124776,124904.75,122550.75,65014,61001,64450,60307,11542645,11537968,11544951,11553031,11570808,2,0.04,94.61,1.59,1.18,0.52,0.22,0.03,14.74,25.34,0,0,0,0,0.00397453,34.3
11586,11506,11450,11513,3412.01,29.45,1377.92,11.89,74.45,1.46,715.39,6.17,695.17,6,10,0.86,0,0,5,0.43,1,0.09,8.92,0.78,1,-66.67,0.27,0.09,7,0.6,17,1.47,549.19,513.38,745.82,770.13,12.57,8.86,70,73.94,0,0,1,1,8.89,25.24,12.41,2.63,0.69,2.12,1.41,0,14.1,5.6,8.4,9,0.94,1.08,0.81,22,16,-27.27,2.45,2.03,1,0.09,6,2,6,2,0,0,1,0,2,2,2,1,5,2,30,25,0,20673,20164,20457.42,19848.42,86652,87622.08,86704.78,84069.28,25594,27569.22,28133.88,28155.34,13741,15055.75,13511,13373.25,6711,7034,6663,7615,974989,990958,998199,1005494,1015165,3,0.26,95.68,0.16,1.48,0.23,1.17,0,21.49,20.2,0,0,0,1,0.011691717,26
