2010.Census.Population,Population.Estimate..2011,Population.Estimate..2012,Population.Estimate..2013,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,FFR09,FFRPTH09,FSR09,FSRPTH09,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,PCT_SNAP12,PC_SNAPBEN10,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_CAP09,SNAP_BBCE09,SNAP_REPORTSIMPLE09,PCT_NSLP09,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SBP09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,FDPIR12,FOODINSEC_10_12,VLFOODSEC_10_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,FMRKT09,FMRKTPTH09,VEG_FARMS07,VEG_FARMS12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,ORCHARD_FARMS07,ORCHARD_FARMS12,BERRY_FARMS07,BERRY_FARMS12,SLHOUSE07,SLHOUSE12,GHVEG_FARMS07,GHVEG_FARMS12,CSA07,CSA12,AGRITRSM_OPS07,AGRITRSM_OPS12,FARM_TO_SCHOOL09,WIC.participants.FY.2009,WIC.participants.FY.2011,WIC.participants..FY.2012,WIC.participants..FY.2013,National.School.Lunch.Program.participants.FY.2009,National.School.Lunch.Program.participants.FY.2011,National.School.Lunch.Program.participants..FY.2012,National.School.Lunch.Program.participants..FY.2013,School.Breakfast.Program.participants.FY.2009,School.Breakfast.Program.participants.FY.2011,School.Breakfast.Program.participants..FY.2012,School.Breakfast.Program.participants..FY.2013,Child.and.Adult.Care.particpants.FY.2009,Child.and.Adult.Care.particpants.FY.2011,Child.and.Adult.Care.participants..FY.2012,Child.and.Adult.Care.participants..FY.2013,Summer.Food.particpants.FY.2009,Summer.Food.participants.FY.2011,Summer.Food.participants..FY.2012,Summer.Food.participants..FY.2013,State.Population..2009,State.Population..2010,State.Population...2011,State.Population..2012,State.Population...2013,RECFAC09,RECFACPTH09,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,PERPOV10,PERCHLDPOV10,METRO13,POPLOSS10,COUNTY_STATE_RELATIVE_POP_2010,PCT_OBESE_ADULTS13
14972,14976,14928,15031,146.86,0.98,80.39,0.54,208.81,3.54,31.67,0.21,29.18,0.19,3,0.2,0,0,11,0.74,0,0,16.67,1.12,5,0,0.34,0.34,7,0.47,4,0.27,649.51,674.8,484.38,512.28,18.82,21.74,67,89.18,0,0,0,1,12.32,43.87,14.52,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,0.86,0.99,0.8,19,14,-26.32,5,4.11,1,0.07,6,10,6,8,8,11,0,10,1,0,0,0,0,3,3,6,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,0,0,93.21,3.3,2.05,0.15,0.33,0.01,15.77,23.72,0,0,0,0,0.003128682,30
49948,50484,51180,50729,11395.32,22.81,3708.84,7.43,884.11,4.45,2727.3,5.46,1493.51,2.99,7,0.14,1,0.02,30,0.61,0,0,37.5,0.73,8,14.29,0.15,0.16,35,0.71,31,0.63,649.51,674.8,484.38,512.28,18.82,14.64,67,89.18,0,0,0,1,12.32,36.53,8.41,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,1.14,0.99,1.06,34,37,8.82,3.5,4.12,1,0.02,18,16,18,16,46,51,4,10,1,1,0,0,9,5,4,13,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,5,0.1,72.34,16.53,6.37,1.26,1.21,0.1,14.44,24.19,0,0,0,0,0.010437579,33.7
13228,13193,13007,12866,3725.78,28.17,1955.51,14.78,372.46,6.62,723.1,5.47,779.04,5.89,3,0.23,0,0,16,1.21,1,0.08,22.75,1.75,1,-50,0.15,0.08,5,0.38,4,0.3,649.51,674.8,484.38,512.28,18.82,38.84,67,89.18,0,0,0,1,12.32,80.92,4.37,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,1.14,0.99,1.06,8,13,62.5,2,3.76,0,0,11,12,11,12,23,21,1,1,0,0,0,0,3,2,8,8,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,0,0,51.13,46.28,1.22,0.13,0.33,0,17.86,23,1,1,0,0,0.002764241,36.4
11539,11369,11201,11058,2837.24,24.59,752.86,6.52,169.15,3.53,498.07,4.32,565.56,4.9,0,0,0,0,9,0.79,0,0,5,0.46,1,-50,0.19,0.09,0,0,0,0,649.51,674.8,484.38,512.28,18.82,19.93,67,89.18,0,0,0,1,12.32,62.52,11.46,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,0.97,0.97,0.92,7,18,157.14,3.38,11.84,0,0,6,8,6,7,3,2,3,8,0,0,0,0,0,1,7,3,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,0,0,65.9,30.82,1.99,0.12,0.35,0,17.07,20.54,0,0,0,0,0.002411292,39.7
80406,80457,80351,80731,6295.39,7.83,2535.5,3.15,985.32,3.09,1477.53,1.84,1170.92,1.46,10,0.12,1,0.01,54,0.67,6,0.07,77.5,0.96,11,22.22,0.11,0.14,50,0.62,44,0.55,649.51,674.8,484.38,512.28,18.82,17.01,67,89.18,0,0,0,1,12.32,39.6,10.99,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,0.97,0.97,0.92,75,74,-1.33,3.04,3.69,1,0.01,68,66,68,62,17,21,17,14,1,3,2,5,5,13,9,9,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,4,0.05,92.74,1.02,4.3,0.42,0.49,0.02,15.93,23.18,0,0,0,0,0.016802354,33.4
50251,50119,50296,49753,13846.96,27.56,5167.72,10.28,538.94,2.69,3824.17,7.61,1375.4,2.74,7,0.14,1,0.02,33,0.66,1,0.02,36.58,0.73,8,0,0.17,0.16,33,0.66,31,0.62,649.51,674.8,484.38,512.28,18.82,24.87,67,89.18,0,0,0,1,12.32,50.85,8.24,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,1.14,0.99,1.06,24,23,-4.17,4.55,4.72,2,0.04,11,11,11,11,46,51,5,8,0,0,0,0,1,0,11,10,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,2,0.04,71.05,19,5.61,1.05,0.67,0.08,13.45,24.83,0,0,0,0,0.010500896,36.5
9045,8926,8837,8702,3286.51,36.34,1895.32,20.95,301.22,8,794.42,8.78,522.34,5.77,5,0.54,0,0,8,0.87,0,0,15.17,1.71,2,0,0.22,0.23,1,0.11,3,0.33,649.51,674.8,484.38,512.28,18.82,44.2,67,89.18,0,0,0,1,12.32,65.42,2.73,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,0.97,0.97,0.92,20,23,15,6.33,7.57,2,0.23,26,21,26,17,6,5,3,5,0,1,0,0,7,1,18,30,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,0,0,17.27,81.25,0.76,0.17,0.12,0,16.08,24.26,1,1,0,1,0.001890124,46.3
17302,17405,17237,17188,386.31,2.23,172.81,1,345.82,4.94,94.72,0.55,54.71,0.32,4,0.23,0,0,13,0.75,2,0.12,17.58,1.02,3,-25,0.24,0.17,10,0.58,9,0.52,649.51,674.8,484.38,512.28,18.82,23.17,67,89.18,0,0,0,1,12.32,53.98,9.04,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,1.14,0.99,1.06,11,14,27.27,2.3,2.81,0,0,9,8,9,8,23,28,9,6,0,0,0,1,4,0,6,3,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,1,0.06,67.8,28.41,2.25,0.26,0.31,0.01,17.59,22.64,0,1,1,0,0.00361558,35.8
53227,53275,53087,52939,4855.06,9.12,2174.28,4.08,752.39,3.5,1129.4,2.12,722.66,1.36,15,0.28,1,0.02,26,0.64,2,0.04,55.08,1.04,11,-8.33,0.23,0.21,30,0.56,29,0.54,649.51,674.8,484.38,512.28,18.82,20.41,67,89.18,0,0,0,1,12.32,46.88,11.96,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,1.14,0.99,1.06,79,71,-10.13,5.19,5.16,1,0.02,47,24,44,24,17,18,11,11,1,0,0,1,7,4,11,14,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,2,0.04,90.06,3.33,2.52,0.31,1.28,0.05,16.48,22.52,0,0,0,0,0.011122788,32
82782,85571,87368,88904,10137.46,12.25,3269.77,3.95,872.13,2.77,1936.13,2.34,1518.52,1.83,12,0.15,1,0.01,58,0.71,2,0.02,62.08,0.71,9,12.5,0.1,0.1,45,0.55,35,0.43,649.51,674.8,484.38,512.28,18.82,16.99,67,89.18,0,0,0,1,12.32,37.24,7.02,4.51,0.56,2.99,0.92,0,17.9,6.8,8.5,9.3,0.97,0.97,0.92,50,70,40,3.7,5.69,1,0.01,27,12,26,10,17,8,5,6,0,0,0,1,8,3,9,2,0,140810,143768,141899.83,139000.5,579880,571291.14,562959.01,539664.27,212316,216714.37,224489.75,224172.96,43136,42773.5,42903.75,41862.5,26599,24724,26077,30308,4708708,4785401,4802740,4817528,4833722,4,0.05,78.65,12.5,5.55,1.1,0.59,0.03,12.31,23.99,0,0,1,0,0.017298864,32.9
