HU/Var,2010.Census.Population,Population.Estimate..2011,Population.Estimate..2012,Population.Estimate..2013,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,FFR09,FFRPTH09,FSR09,FSRPTH09,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,PCT_SNAP12,PC_SNAPBEN10,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_CAP09,SNAP_BBCE09,SNAP_REPORTSIMPLE09,PCT_NSLP09,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SBP09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,FDPIR12,FOODINSEC_10_12,VLFOODSEC_10_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,FMRKT09,FMRKTPTH09,VEG_FARMS07,VEG_FARMS12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,ORCHARD_FARMS07,ORCHARD_FARMS12,BERRY_FARMS07,BERRY_FARMS12,SLHOUSE07,SLHOUSE12,GHVEG_FARMS07,GHVEG_FARMS12,CSA07,CSA12,AGRITRSM_OPS07,AGRITRSM_OPS12,FARM_TO_SCHOOL09,WIC.participants.FY.2009,WIC.participants.FY.2011,WIC.participants..FY.2012,WIC.participants..FY.2013,National.School.Lunch.Program.participants.FY.2009,National.School.Lunch.Program.participants.FY.2011,National.School.Lunch.Program.participants..FY.2012,National.School.Lunch.Program.participants..FY.2013,School.Breakfast.Program.participants.FY.2009,School.Breakfast.Program.participants.FY.2011,School.Breakfast.Program.participants..FY.2012,School.Breakfast.Program.participants..FY.2013,Child.and.Adult.Care.particpants.FY.2009,Child.and.Adult.Care.particpants.FY.2011,Child.and.Adult.Care.participants..FY.2012,Child.and.Adult.Care.participants..FY.2013,Summer.Food.particpants.FY.2009,Summer.Food.participants.FY.2011,Summer.Food.participants..FY.2012,Summer.Food.participants..FY.2013,State.Population..2009,State.Population..2010,State.Population...2011,State.Population..2012,State.Population...2013,RECFAC09,RECFACPTH09,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,PERPOV10,PERCHLDPOV10,METRO13,POPLOSS10,COUNTY_STATE_RELATIVE_POP_2010
0,1.762849689,-1.015293717,0.568580627,-0.877441525,-0.508502901,0.828125358,-0.233860955,-0.326976061,-0.357793331,0.941626012,-0.578784645,-0.20918113,1.172012568,-0.568542659,-0.992503345,-0.124350637,-1.108648062,0.360914975,0.327314556,1.051745296,-0.473333806,-0.620109439,0.489616394,0.897872746,-1.101556897,1.187977195,1.670772195,1.924437046,-0.558668911,-0.965192378,-1.300511599,0.995111227,0.218818247,1.806239963,0.207517132,0.005092638,-0.235281289,0.606911123,-1.181883812,0.57768774,1.550608993,0.477703333,1.824557781,-0.705498397,2.384713411,-1.286971211,-0.174706832,-1.307902694,0.51510793,1.599426627,-0.752122879,0.273223966,-0.150863633,-0.52549082,1.793309212,0.557676554,-0.650422275,0.524847269,-1.339530945,-0.407016456,0.273897797,1.348266244,0.498182744,0.282011867,0.232660443,-0.924799144,-1.92745316,2.025879383,0.403433919,0.054305647,-2.256082535,1.124175191,-1.081184506,0.749268532,0.763178349,0.933047771,-0.934015572,1.080908537,0.658732653,-0.034434129,-0.597747207,0.674509227,1.148998141,-0.621987879,0.333288312,-0.904681563,1.201015711,-1.246594548,0.126296729,-2.048372746,-0.83317405,1.013486624,-1.530672073,0.478246927,-1.036055923,-0.616840124,-0.117551237,1.121683002,0.164059058,-1.586377382,-0.832100689,-0.915262878,-1.248049855,-2.504624367,-0.675759673,1.241443515,0.077866085,0.089957543,0.492053092,0.785242021,-0.759209335,-0.57574439,-1.250449896,-0.380171686,1.012360811,-1.422182322,-1.612421155,-1.620712399,0.501202524,-0.467575371,0.639936805,0.828463376,0.743353724
1,-3.309993029,-0.671604991,0.488241017,-0.779006481,0.41510126,1.107470274,-0.647831261,-1.285652161,-0.615989029,0.416329712,-0.418830842,0.756381929,2.274487257,-0.14250432,1.20127666,0.36279723,2.11802268,0.694801152,-0.380337417,-0.464939147,0.166229486,0.901382387,1.85916996,-0.32589063,0.301661402,-0.927880287,-0.227275088,0.053467583,-0.144421667,-1.417583704,-0.249526843,0.407298505,-0.939995229,1.327698588,-1.846167445,0.550690234,-1.373396397,-0.167493194,1.563924551,-0.768227518,-0.021730844,0.11826665,0.076610327,0.112629525,0.01836147,-0.084663853,0.488707274,0.192516819,1.848686576,-0.841432989,0.811320007,-0.100228831,-0.455233395,-0.782203078,-0.389905572,1.196914196,-0.129429922,-0.431002676,0.938775539,1.367993951,-1.154833317,0.716862619,-0.124882363,-0.698160529,0.545228779,-0.224032193,-0.781574726,-1.214551806,0.313550532,1.384997964,0.509921491,-0.944103897,0.205644891,-2.122668028,0.972276866,1.806215525,1.18785429,-1.929043412,-0.121545553,1.499797106,-1.639519453,-0.312249571,-0.57173121,0.265982598,0.437368065,0.937390268,-0.985665381,0.409133881,-3.005988121,0.269197285,0.954134047,0.358435392,-1.636016369,0.126671061,-1.088710785,0.871393263,1.300721407,0.359885722,0.784489214,-0.066593327,-1.360311031,-1.680618525,-1.055439711,-0.505020678,-0.3318066,-0.513657749,-0.060032502,-0.640610039,-0.265465915,-1.307459354,0.564196289,1.508037686,-1.008470178,1.959887862,1.024191976,-0.346685112,-0.320666313,0.658791363,0.43371436,-0.177324682,-0.530938983,-0.283306777,3.27455163
2,0.256604671,0.967395902,-0.075056411,0.161828607,0.750015557,1.480868816,-2.149790525,1.603827119,1.226364374,-0.545564413,-0.681822479,1.255537033,-0.140935913,-0.420104325,-0.883089602,-1.279230714,0.873934567,-0.302681357,-0.290816337,-1.026699185,-0.707521021,0.170185357,0.337773591,-0.525150299,0.50957936,0.118809298,-0.944881082,1.985932827,-0.762883782,1.150609732,-0.370757222,-1.093233943,0.524537802,0.573468387,-0.26623717,-0.524080873,-1.799922824,1.176335454,-0.83055377,-0.153164789,0.424836755,0.366710395,-0.078965895,-0.31689164,0.642907619,1.203054667,0.446309626,0.1389153,1.029430389,0.254203141,-1.78144896,0.593876302,0.217510372,0.350851178,0.919124007,-0.831084251,-0.218641773,-0.30396226,-0.434565485,1.268369317,1.53050065,-0.063958675,0.73920393,-0.557998478,0.387384057,1.776603937,-0.752651691,-1.029369593,-0.036588289,-0.09461911,-1.538112164,0.90179497,0.789377749,0.392329097,-0.635211825,1.029676199,1.116629243,-0.327612787,-0.054180037,-2.02315712,-0.327825874,-1.944203019,-0.656995654,-0.414545774,-0.169862449,1.317568421,-0.723957419,0.983536363,-0.48820439,-1.324215412,-1.200868249,1.007998943,-1.198711991,-0.701063216,0.89823091,0.794284225,0.249220267,0.266795784,0.16082561,-2.352588892,0.071069829,-0.019584309,0.637410283,-1.162142992,0.946948826,-0.595380247,-0.426865369,0.413402736,-0.007356135,0.165495828,1.160917163,1.175071716,1.158383846,-0.17642048,-0.540610731,0.276151568,0.313828439,1.001512408,-0.339623749,-0.336957663,0.109863758,-0.101732641,-0.117279775
3,0.127847642,-0.338383704,-1.316365957,0.448046952,1.457457185,0.720448136,0.285243213,1.621705651,1.571433187,0.565579295,0.814655781,-1.010731578,-0.768340051,-2.322473049,-1.234782815,-0.8414644,-0.191416606,1.904025316,0.525781989,-0.314392477,-0.765554905,0.125796616,-0.28781876,-1.815060735,-0.510622025,0.725307524,-0.050137695,-0.691642046,-1.264742494,-0.464944243,-0.843879879,1.199586272,-1.582512736,1.435689092,-1.987860322,-1.276775837,-0.169886842,-0.12616463,-0.12287809,-0.757226527,-0.990509808,0.597089529,0.075211421,0.694164574,-1.661584377,-1.578537107,-1.770173669,-0.736335278,-0.245331898,0.469343334,-0.812682092,-0.023233779,-1.967376828,-0.730315089,0.503412366,0.939515948,0.034985304,-0.38990137,-0.203014329,0.168441921,0.158185005,-0.369616419,-0.382882774,-0.270933568,-0.138007998,-0.24911797,-0.276226997,1.090812922,1.292912841,0.555856466,-0.647263229,0.130434006,1.381170273,-1.023382306,0.234092534,-1.416582942,1.141542673,-0.659431219,1.14680624,1.08E-05,-0.795653582,-0.169226557,1.135389566,-1.343658805,-0.608926892,-0.994227827,0.318214864,0.347402185,-1.362782478,0.397364527,0.181267068,0.547175586,1.829033613,-0.314688176,1.728496313,0.653832734,1.34224546,-0.218677148,-0.855413496,-0.302685231,0.081836425,-1.393516421,1.198513031,-0.379139155,0.865326405,-1.12831068,-0.809218764,-0.481647581,1.107105017,-0.526084304,1.004172683,-1.544824958,-1.906986475,-0.704762518,0.703431845,-0.274686217,-0.543687582,-0.585376918,1.695122719,0.238361597,-0.572723985,-0.386432976,0.192333162
4,-0.04373258,-0.222636089,-1.777643919,-0.349249154,-0.863216937,-1.758793592,2.419088125,1.835471153,1.224938154,-0.825272739,0.25522998,1.039276481,0.195223823,-0.388790607,0.190281928,-0.15598911,0.555797756,1.232775688,-1.018886566,0.239725977,-0.648225307,-2.509827137,-0.234366581,0.010559055,-0.601527572,-0.717880189,-0.996478915,-1.133298755,-1.658107281,-0.672698796,-3.231117725,-0.19863303,-0.439361095,0.267024487,-0.579631388,0.28571552,1.063321829,-0.836212337,-1.046394706,-2.501436949,0.475827038,-0.123333357,-1.687198877,0.203657046,2.232472658,0.22007896,-0.223481551,-2.250731468,-0.282427818,-0.357292086,0.836870611,-0.411290199,-0.612253785,-0.352340758,-0.060635306,-0.778927505,0.735276163,-1.074033022,-1.549718618,-1.313729763,-0.308651477,0.720367312,1.979892492,0.539647281,-0.893500388,-1.699462056,1.255618811,0.962583005,-1.551213264,1.543128371,-0.001146365,1.794311762,-1.018641949,0.896884024,-0.952740908,-0.872275233,-0.119530857,1.578147531,0.943497539,0.39041549,-0.066521361,0.392943442,-1.092126608,-1.868083119,0.505289733,-0.799346328,0.173595071,0.445289284,-0.170453638,1.190586329,-0.718130469,-0.226901978,2.523745298,-1.66003561,0.823516786,0.441208065,-1.877650738,0.303556234,0.07268773,-0.32976675,-0.398525,0.330979794,1.101457,0.84687674,-0.455236077,0.983926177,0.650746882,-1.669414878,-0.919960201,0.730858803,-0.695121586,0.477343202,0.655191839,1.381093264,0.636600256,0.050739255,-0.543765903,0.115345702,0.996497929,-0.836401165,-0.067994155,0.405452281,0.80050838
5,-0.580636561,0.89768064,-0.038458236,0.310580373,0.122290887,0.335666239,-0.832420588,-1.299047947,0.695258737,1.022834897,-0.964178145,0.091527663,0.305117995,1.386220217,0.078000903,-0.361612052,0.475537211,0.330920428,1.496798754,-1.66385448,-0.016813682,-0.417938322,-0.825914025,0.932045579,-0.208299831,-1.21862793,-2.664366484,0.661818624,-0.197044253,-0.479648709,0.630236208,0.054954514,-2.106388569,-2.394614697,0.132061839,0.723807156,-0.073585026,0.061086513,0.228960723,-0.154568672,-0.129210502,-0.176805854,0.230218053,-1.107693195,0.216644436,-1.478934407,-0.225643471,-0.245635748,0.315474451,1.281529784,1.508489728,-0.511903822,1.013044715,-1.812072158,0.421849638,-0.425761312,0.666168988,-1.155873299,-0.024240613,-1.647981763,1.110420585,-1.529374599,-0.563849926,-0.959352136,0.210874289,-1.605813622,2.023790359,1.088253736,0.606635749,-1.717080951,-0.73937577,-0.638151109,-0.554082692,0.357295305,-1.287961841,1.742430329,-1.070337534,-1.250772715,0.748290479,-1.346537828,-0.410153329,-0.973699152,-1.540976286,1.160384893,1.054658175,-0.84389919,1.618557692,-1.517298579,-0.816507876,0.233193487,-0.286951095,0.188345775,0.695801258,0.372153968,0.594033241,0.514508367,1.419936061,0.746694624,0.691494167,-1.224510074,-1.83113122,-0.442628622,-1.164360523,-0.621699333,-0.715888262,0.4252294,-0.534944177,-0.095637374,-1.159853578,-1.506132841,-0.874326229,-0.184212774,-0.963521063,0.322787821,-0.616353869,-0.487652898,-0.768793225,0.920752287,1.306886435,-0.394346267,1.665295959,-0.785319924,0.641246557
6,0.917273402,-0.336713195,-0.552247465,0.638862133,0.235233217,-0.588677406,0.280480742,-0.502355695,-0.0544938,0.061547056,-1.632497311,0.437487811,1.325432777,0.722586393,-0.280834526,-0.368998647,-1.126352787,-0.490146786,0.632313192,0.149181724,-0.553204477,-0.18167986,-0.507507145,1.144911528,1.241157174,-0.834917307,0.856688619,-2.093696594,0.64145118,-1.581646204,2.287179947,0.233821839,-0.293203652,0.212868124,0.237800896,-0.110990852,0.228578493,-0.080177121,0.157867372,1.435446262,0.323614419,1.49763298,-0.974587202,0.415617645,-0.086289071,-0.966576576,-0.085961416,1.67248702,0.023101319,0.548325241,-0.63097924,0.420375943,-0.084129058,-1.315471411,-1.305819631,-0.487299263,-1.633282423,-2.721308708,-0.635167122,-0.906867802,-1.766018391,1.644665718,0.559675217,-1.52424562,0.03425223,0.872078359,0.965213716,-2.061890125,-0.331385374,-1.063970208,0.869013667,3.539160252,0.38054049,-0.387521267,-1.146512747,-2.080576897,0.668155491,0.711246431,0.51245296,0.489328057,-0.33918187,-1.534700871,0.081307814,2.186740875,-0.405996799,-0.34589687,1.464537263,-1.276972413,-0.042982385,-0.784043908,-1.197704673,1.373784065,-0.630788863,-1.099052906,0.793901384,0.857520759,-0.819635212,0.271490693,-0.323772728,0.052721906,1.224718451,-0.325865775,-0.376050532,-0.513519347,1.121186137,1.056564927,-1.014767647,0.397811621,-1.472753644,1.528467894,0.275492907,-0.060870182,0.733823299,0.243808821,0.95391351,-1.051606178,-1.097557902,0.443316728,0.093030885,0.345238149,-0.011967146,1.058125377,-0.161464736
7,0.095741503,0.322926909,1.460355163,-0.386179149,-0.423046023,-0.537033677,-1.32824707,-0.340581119,0.473792434,-1.601313114,0.780975401,0.396962076,-0.572616994,-0.04437501,-0.738907278,0.484660357,0.027985515,-0.103313938,-0.602092505,0.486194998,0.412553579,1.586994052,-0.440047324,-0.642724276,-0.139735594,-0.423046768,-0.720863163,-0.032227196,-0.265092731,0.536092222,1.544953465,0.094017088,-0.578685582,-0.077026889,-1.672395825,-0.058876857,1.007909179,0.155069828,-1.118711948,-0.840445101,0.607885361,-0.018487023,-0.551893055,0.187357411,-0.331255317,-1.082741022,-2.709802628,0.885407448,0.544370651,-0.401415974,0.853878319,-0.218078732,-1.674452543,1.91304636,-0.170724303,0.733364701,1.016820669,-0.489054829,0.822434783,-1.119183779,-0.499152213,0.102986306,-0.181424364,-2.107233524,-2.238542557,-1.393318534,-0.774790883,-1.204681754,1.219020605,-0.94302702,0.839590609,-2.255422115,-0.168660074,-0.910777569,-1.643277884,-0.706288934,-0.970296025,-2.82018733,-1.966182351,-0.244352743,-0.328394115,0.060212292,-1.301149249,-0.426561981,2.916713238,-1.646528125,0.66691035,-1.273237586,-0.397275835,-0.159047946,-0.398924649,0.402536035,0.654235959,0.709600866,0.466503054,-1.484668255,-1.327233195,0.048254758,0.061295111,0.609131217,0.63202107,-0.937336802,-0.567812026,0.263325602,-0.018053781,-0.662463367,0.997508228,-0.207674652,0.412985384,0.000685669,-0.641432464,-1.757431269,0.125582606,-1.953720093,-1.091335893,-0.031619653,-0.913612008,0.55879122,0.028385716,-0.768339097,0.828133702,-0.589800477,0.143863305
8,-0.029868966,-0.560723364,-0.228746653,0.902873218,1.463856697,1.165216327,1.185872555,0.576624751,0.552817404,1.114165664,-0.662425995,0.630598247,-1.075295448,0.674449384,1.923874021,1.160494924,0.450374842,0.715453684,-0.429177135,-1.14556694,-0.682480812,0.879275382,-0.03491563,0.410282671,0.213445678,-0.474157482,-1.026569486,0.216918811,0.616774976,-0.791256368,-0.747552872,1.003054142,-1.578332305,0.774495065,-0.068699218,-0.605458498,1.392440557,0.413339883,-0.231148243,0.500123084,0.342116416,-1.411640763,-0.194551051,1.031962752,0.978596926,-0.742994428,-0.323340088,-0.881219745,-0.1247724,0.87054491,0.560143292,-1.019280672,-0.173219383,0.532515347,0.084363312,-0.484777927,1.407321215,0.495139062,-0.352517575,0.437275618,0.985662043,0.140748277,1.067462325,-0.242375225,-0.135617644,0.02226322,0.865298629,-0.243723333,-0.562642753,-0.730171323,-0.811149359,-0.739976823,2.101026535,0.631330371,-0.49016881,-0.93971163,1.116478086,-0.452978313,1.516996145,-0.891394079,-0.039251938,1.359890699,-0.762912273,0.009546824,-1.23850441,0.640704811,-1.18428719,0.505979717,0.396935731,0.25929597,-0.865363836,0.428108692,-1.410452485,-1.866559267,-0.584163368,0.266836226,-1.0513556,1.706238508,1.345398068,-0.087401487,-0.889230132,0.01769042,0.873798847,0.469952971,0.584652841,1.441280365,1.756249905,0.492263526,0.873175681,0.988438487,0.235929132,0.593380332,2.075500488,0.261196464,0.852343202,0.091498099,-0.950985372,0.561701298,0.058371071,0.722505808,-0.850095093,0.5995996,-0.860894263
9,-0.902535856,-0.772412956,0.858827889,-1.764994383,1.00878346,0.980520129,-1.483228326,-0.392291218,0.854935408,-0.614998937,-0.965860903,0.591548622,0.544996798,-0.629219949,0.351500809,0.093581118,-0.02199153,-0.096287839,-0.154624596,-0.328463167,0.64878726,0.91700834,0.002016154,1.573722005,1.284311771,-0.102561571,0.719902933,-0.72101754,0.71137768,0.357610166,-0.143132284,0.166232318,0.603632092,-0.146203905,0.426794678,-0.907191932,0.368569016,-0.595703125,0.125514805,0.494264215,-1.882761598,-2.568166494,-0.893960416,-0.806653857,-0.214054227,0.09137544,-2.815392971,0.605167031,0.913446903,-0.217357695,-1.253338695,1.356597185,0.3393085,-0.384718388,-0.852316856,-0.318765402,0.902970433,-0.357221633,0.289879531,0.47217074,0.271116018,0.708891571,0.383021832,1.280736923,1.702945232,-0.691293299,-0.153364062,-1.282419324,-0.75949204,0.623627126,0.21997343,0.672305346,0.620462954,0.00658452,0.968548417,1.476406097,-1.482386231,-0.239113986,-1.631649137,0.13407588,0.022699693,0.190255225,-1.929886222,0.170078054,-0.247318655,-0.010163744,1.076440215,-0.869251311,-1.000703692,-0.397611976,1.543656945,-0.536495805,-1.640760064,-0.174396738,1.399899125,0.741643965,-0.471532017,-1.396147132,-0.216828197,-0.713249743,2.695412397,-1.312093139,-0.529125512,-0.656498909,0.337871075,1.454053879,-2.299764395,0.297815681,-0.826284468,-0.044318628,-0.695079863,-0.730135381,-0.759342909,-0.935686827,-1.110204339,-0.348849714,1.218110085,0.974921644,-0.420972824,0.163630083,-1.483647943,-0.515426755,1.012733936
